# total_ram_gb=16.0
t,ram_gb,vram_gb
352.5,7.66,
353.5,7.66,
354.5,7.66,
355.5,7.66,
356.5,7.66,
357.5,7.67,
358.5,7.67,
359.5,7.69,
360.5,7.67,
361.5,7.67,
362.5,7.68,
363.5,7.68,
364.5,7.68,
365.5,7.68,
366.5,7.69,
367.5,7.68,
368.5,7.69,
369.5,7.69,
370.5,7.7,
371.5,7.7,
372.5,7.72,
373.5,7.71,
374.5,7.71,
375.5,7.71,
376.5,7.71,
377.5,7.72,
378.5,7.72,
379.5,7.72,
380.5,7.74,
381.5,7.62,
382.5,7.61,
383.5,8.03,
384.5,8.05,
385.5,8.44,
386.5,8.44,
387.5,8.44,
388.5,8.44,
389.5,8.44,
390.5,8.44,
391.5,8.43,
392.5,8.43,
393.5,8.42,
394.6,8.41,
395.6,8.41,
396.6,8.37,
397.6,8.37,
398.6,8.37,
399.6,8.37,
400.6,8.37,
401.6,8.37,
402.6,8.37,
403.6,8.37,
404.6,8.37,
405.6,8.37,
406.6,8.36,
407.6,8.23,
