# total_ram_gb=16.0
t,ram_gb,vram_gb
352.3,5.73,
353.3,5.73,
354.3,5.72,
355.3,5.71,
356.3,5.71,
357.3,5.71,
358.3,5.71,
359.3,5.65,
360.3,5.66,
361.3,5.66,
362.3,5.66,
363.3,5.66,
364.3,5.66,
365.3,5.66,
366.3,5.65,
367.3,5.66,
368.3,5.66,
369.3,5.66,
370.3,5.66,
371.3,5.65,
372.3,5.71,
