# total_ram_gb=16.0
t,ram_gb,vram_gb
352.7,5.91,
353.7,5.91,
354.8,5.91,
355.8,5.9,
356.8,5.89,
357.8,5.89,
358.8,5.89,
359.8,5.89,
360.8,5.89,
361.8,5.89,
362.9,5.86,
363.9,5.94,
